,title,price,year,link,brand,location,age
0,victory trike,7900,,https://frederick.craigslist.org/mcy/d/thurmont-victory-trike/7789768248.html,missing,frederick,
1,2023 honda xr150l,3250,2023.0,https://richmond.craigslist.org/mcy/d/glen-allen-2023-honda-xr150l/7789766135.html,honda,richmond,2.0
2,2020 indian roadmaster dark horse,17000,2020.0,https://washingtondc.craigslist.org/nva/mcy/d/gainesville-2020-indian-roadmaster-dark/7789728967.html,indian motorcycle,washingtondc,5.0
3,"2023 royal enfield meteor 350, hunter and scram - huge savings!!!!!!",0,2023.0,https://norfolk.craigslist.org/mcd/d/newport-news-2023-royal-enfield-meteor/7789713076.html,harley-davidson,norfolk,2.0
4,"2022 can-am ryker - low miles, save big over a new one!",7999,2022.0,https://norfolk.craigslist.org/mcd/d/newport-news-2022-can-am-ryker-low/7789695651.html,harley-davidson,norfolk,3.0
5,2023 indian sport chief - custom bars and exhaust!,17999,2023.0,https://norfolk.craigslist.org/mcd/d/newport-news-2023-indian-sport-chief/7789694608.html,harley-davidson,norfolk,2.0
6,2003 r6 and 2006 600 gsxr,1000,2003.0,https://washingtondc.craigslist.org/mld/mcy/d/bowie-2003-r6-and-gsxr/7789693773.html,missing,washingtondc,22.0
7,"2022 indian roadmaster - tons of extras, excellent shape!",20999,2022.0,https://norfolk.craigslist.org/mcd/d/newport-news-2022-indian-roadmaster/7789693505.html,harley-davidson,norfolk,3.0
8,2023 royal enfield int 650 - great price - save over new!,4999,2023.0,https://norfolk.craigslist.org/mcd/d/newport-news-2023-royal-enfield-int/7789692413.html,harley-davidson,norfolk,2.0
9,2025 royal enfield himalayan 450 - come in for a test ride!,4799,2025.0,https://norfolk.craigslist.org/mcd/d/newport-news-2025-royal-enfield/7789689886.html,harley-davidson,norfolk,0.0
10,2014 hd electra glide ultra classic,16000,2014.0,https://norfolk.craigslist.org/mcy/d/hampton-2014-hd-electra-glide-ultra/7789672536.html,missing,norfolk,11.0
11,restored barn find,1200,,https://norfolk.craigslist.org/mcy/d/williamsburg-restored-barn-find/7789669000.html,missing,norfolk,
12,1967 triumph 650,6500,1967.0,https://york.craigslist.org/mcd/d/york-1967-triumph-650/7789652405.html,triumph,york,58.0
